Application_ID,Current City,Python (out of 3),R Programming (out of 3),Data Science (out of 3),Other skills,Institute,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,True_Y,pred_Y
DS0017,Bangalore,2,0,1,"Bootstrap, C Programming, Flask, HTML, LARAVEL, MySQL, Node.js, PHP, PostgreSQL, Python, SQL, Stripe Payment API, Video Editing, Data Analytics, GitHub, Heroku, Image Processing, Machine Learning",Acharya Institute of Management and Sciences,Master of Computer Applications (MCA),Computer Application,2020,7.00/10,70.00/100,71.00/71.00,8.80/8.80,0,0
DS0018,Bangalore,0,0,0,"Data Analytics, MS-Excel",Balaji Institute Of Pharmaceutical Sciences,Bachelor of Pharmacy (B.Pharm),,2014,,75.00/100,,,0,0
DS0019,Nellore,2,0,2,"C Programming, Data Analytics, Data Science, Java, Machine Learning, Natural Language Processing (NLP), Python, SQL, Unix, HTML",Krishna Chaitanya Institute Of Science And Technology,Integrated MCA,,2020,,87.00/100,,8.30/8.30,0,0
DS0020,Thrissur,1,0,0,"HTML, MS-Excel, SQL, Android, JavaScript, PHP, Python",Sree Narayana Guru Institute Of Science And Management,Master of Computer Applications (MCA),Computer Application,2017,,,,,0,0
DS0021,Pathanamthitta,1,1,1,"Data Analytics, Embedded Systems, Machine Learning, Python, R Programming",Mangalam College Of Engineering,B.Tech (Hons.),Electronics and Communication,2019,,7.84/10,8.70/8.70,9.60/9.60,0,0
DS0022,Bangalore,2,0,0,"Algorithms, C Programming, Data Structures, Database Management System (DBMS), Java, Linux, Python",Jain University,B.Tech (Hons.),Computer  Science And Engineering,2020,,75.00/100,,,0,0
DS0023,Bangalore,3,0,0,"Python, SQL, Amazon Web Services (AWS), Apache Cassandra, Apache Kafka, BIG DATA ANALYTICS, Cloud Computing, Database Management System (DBMS), Hadoop, Linux, MongoDB, Shell Scripting",V.V.P. Engineering College,Bachelor of Engineering (B.E),Computer  Science,2019,,7.53/10,,,0,0
DS0024,Bangalore,3,1,2,"Python, Machine Learning, SQL, R Programming",Don Bosco Institute of Technology,Bachelor of Engineering (B.E),Electronics and Communication,2019,,7.30/10,86.88/86.88,91.84/91.84,1,1
DS0025,Bangalore,3,0,2,"Python, Data Analytics, Data Science, MS-PowerPoint, MS-Word, Machine Learning, Mathematics, Video Editing, C Programming, Data Structures, Database Management System (DBMS), MS SQL Server, MySQL, SQL",Sri Sairam College Of Engineering,Bachelor of Engineering (B.E),Computer  Science,2020,,7.72/10,79.00/79.00,67.33/67.33,1,1
DS0026,Visakhapatnam,0,0,0,,Andhra University,Bachelor of Technology (B.Tech),Instrumentation and Control Engineering,2018,,6.74/10,88.00/88.00,89.00/89.00,0,0
DS0027,Bangalore,2,0,2,"Computer Networking, Data Analytics, Data Science, Linux, MS-Excel, Machine Learning, Python, SQL","M.S. Ramaiah Institute of Technology , Bangalore",Bachelor of Engineering (B.E),Electronics and Communication,2017,,9.04/10,83.16/83.16,97.28/97.28,1,1
DS0028,Mumbai,2,0,0,"C Programming, C++ Programming, Java, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, WordPress, HTML, Python, SQL, Visual Basic (VB)",Sinhagad Institute Of Technology,Bachelor of Engineering (B.E),Computer Science & Engineering,2021,,,5.00/5.00,6.00/6.00,0,0
DS0029,Dharwad,2,0,2,"Algorithms, C++ Programming, Data Analytics, Data Structures, Machine Learning, Mathematics, Python",Indian Institute Of Technology Dharwad,Bachelor of Technology (B.Tech),Computer Science & Engineering,2022,,9.50/10,98.00/98.00,10.00/10.00,1,1
DS0030,Salem,0,0,0,,VIT,Master of Science (M.Sc),,2021,,,,,0,0
DS0031,Delhi,2,0,2,"Data Analytics, Java, Machine Learning, Python, SQL","Amity University, Noida",Bachelor of Technology (B.Tech),Information Systems,2019,,8.01/10,,,1,1
DS0032,Hyderabad,2,2,2,"Machine Learning, Python, R Programming, Natural Language Processing (NLP)",mvgr college of engineering,Bachelor of Technology (B.Tech),Mechanical Engineering,2019,,7.98/10,95.00/95.00,7.70/7.70,1,1
DS0033,Bangalore,1,0,0,"English Proficiency (Spoken), MS-Excel, Data Analytics, Python",Sacred Heart College (Autonomous),Bachelor of Commerce (B.Com),Commerce,2016,,7.00/10,8.00/8.00,,0,0
DS0034,Bangalore,1,0,0,"English Proficiency (Spoken), C Programming, C++ Programming, English Proficiency (Written), HTML, Hindi Proficiency (Spoken), Java, MS-Excel, MS-Office, Malayalam, MySQL, Python","CMR Institute of Technology, Bangalore",Bachelor of Technology (B.Tech),,2020,,,,,0,0
DS0035,Mumbai,2,2,2,"Machine Learning, Python, R Programming, Artifical Intelligence, Data Analytics, Deep Learning, Natural Language Processing (NLP)","National Institute Of Electronics & Information Technology, Calicut",,Artificial Intelligence,2020,,80.00/100,,,0,0
DS0036,Kolkata,2,0,3,"ASP.NET, C#, HTML, JavaScript, Machine Learning, SQL, Data Science, Python, Statistical Modeling",BIDHAN CHANDRA KRISHI VISWAVIDYALAYA,B.Tech (Hons.),Agriculture & Food Engineering,2009,,7.43/10,79.90/79.90,84.50/84.50,1,1
DS0037,Bhiwadi,0,0,0,"PLC SCADA, Embedded Systems, MATLAB, MS-Office, VHDL, C Programming, MS-Excel",IIT ISM Dhanbad,Master of Technology (M.Tech),Electronics and Telecommunication Engineering (ETE),2020,,7.65/10,69.50/69.50,65.00/65.00,0,0
DS0038,Chennai,2,0,1,"Database Management System (DBMS), MS-Office, Data Analytics, Python, Java, Machine Learning",Institute Of Technology And Management,MBA,Business Analytics,2021,,4.00/5,91.40/91.40,,0,0
DS0039,Kharagpur,0,0,0,,Indian Institute Of Technology Kharagpur,B.Tech (Hons.),Mechanical Engineering,2022,,8.40/10,,,0,0
DS0040,Bangalore,2,2,2,"Machine Learning, Python, R Programming, Statistical Modeling, Apache, Hadoop",Visvesvaraya Technological University,Master of Technology (M.Tech),Engineering Design,2016,7.00/7,,,,0,0
DS0041,Bangalore,2,2,2,"C Programming, C++ Programming, Data Analytics, Java, MS-Excel, Machine Learning, MySQL, Python, R Programming, Statistical Modeling",NBN Sinhgad School Of Engineering,Bachelor of Engineering (B.E),Computer  Science,2019,,6.53/10,69.50/69.50,72.60/72.60,1,1
DS0042,Thrissur,2,0,1,"C Programming, Python, Machine Learning",St Joseph's College Bangalore,Master of Science (M.Sc),Physics,2018,,72.00/100,67.00/67.00,9.00/9.00,0,0
DS0043,Bangalore,2,2,2,"Data Analytics, Data Science, Deep Learning, Machine Learning, Python, R Programming, SQLite, Apache, MySQL, SQL",Pt. Shambhu Nath Shukla University,Master of Science (M.Sc),Physics,2018,74.08/100,56.14/100,68.40/68.40,65.16/65.16,1,1
DS0044,Bangalore,0,1,0,"Google Analytics, MS-Excel, MS-PowerPoint, MS-Word, SQL, R Programming",Christ University Bangalore,MBA,Business Analytics,2021,70.90/100,61.92/100,83.00/83.00,8.60/8.60,0,0
DS0045,Nagpur,2,0,2,"English Proficiency (Written), C Programming, C++ Programming, English Proficiency (Spoken), HTML, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Python, SQLite, Adobe Photoshop, Algorithms, JSON, MySQL",Government College Of Engineering Nagpur,Bachelor of Engineering (B.E),Computer Science & Engineering,2021,,7.25/10,74.40/74.40,84.40/84.40,1,1
DS0046,New Delhi,3,3,0,"C Programming, Python, R Programming",NIT Rourkela,Integrated B.Sc. & M.Sc.,Inetgrated Msc Student Of Mathematics,2019,,7.93/10,79.60/79.60,10.00/10.00,0,0
DS0047,Bangalore,3,0,3,"CSS, Django, HTML, Machine Learning, MySQL, Python, Data Analytics, Deep Learning, MATLAB, Neural Networks, OpenCV",Laxmi Narain College Of Technology,Bachelor of Engineering (B.E),Computer Science & Engineering,2018,,6.11/10,82.60/82.60,6.00/6.00,1,1
DS0048,Bangalore,0,0,3,"Machine Learning, C Programming, Data Science, Java",Alpha College of Engineering,Bachelor of Engineering (B.E),Computer Science  Engineering,2019,,6.55/10,68.50/68.50,72.32/72.32,0,0
DS0049,Noida,0,0,0,Data Analytics,"Jayoti Vidyapeeth Women's University, Jaipur",Bachelor of Technology (B.Tech),Computer  Science,2014,,9.00/10,6.00/6.00,6.00/6.00,0,0
DS0050,Bangalore,2,0,1,"C Programming, Computer Vision, Database Management System (DBMS), Digital Marketing, Mathematics, Data Analytics, Data Structures, Java, Python, XML, AngularJS, Machine Learning, OpenCV",Sir C R Reddy PG College,Master of Computer Applications (MCA),Computer  Science,2009,72.80/100,76.00/100,83.80/83.80,72.50/72.50,0,0
DS0051,Banglore,2,0,2,"Machine Learning, MySQL, Python, SAS, Statistical Modeling",KKR AND KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,Bachelor of Technology (B.Tech),Computer  Science,2017,,7.10/10,,,1,1
DS0052,Bangalore,2,0,3,"Data Analytics, Machine Learning, English Proficiency (Spoken), Java, MS-Excel, Python, SQL",Anamalai University,Master of Science (M.Sc),Computer  Science,2019,73.00/100,64.50/100,71.50/71.50,64.00/64.00,0,0
DS0053,Bangalore,3,0,2,"Python, AutoCAD, C Programming, C++ Programming, Java, Machine Learning, MySQL",Bangalore Institute Of Technology,Bachelor of Engineering (B.E),Electronics and Instrumentation,2020,,,75.50/75.50,71.60/71.60,1,1
DS0054,Bangalore,3,0,3,"Data Analytics, Machine Learning, Python, Statistical Modeling, Computer Vision, Image Processing, MS-Excel, Natural Language Processing (NLP), Deep Learning",Varadha Reddy College Of Engineering,Bachelor of Technology (B.Tech),Electronics and Communication,2016,,5.83/10,8.02/8.02,8.50/8.50,1,1
DS0055,Chennai,2,0,2,"BIG DATA ANALYTICS, Data Analytics, Database Management System (DBMS), Machine Learning, MySQL, Natural Language Processing (NLP), Python",IIIT-Bangalore,Post Graduate Diploma,Data Science,2019,5.60/10,65.00/100,,89.00/89.00,0,0
DS0056,Visakhapatnam,2,0,0,"C Programming, C++ Programming, CSS, Data Structures, HTML, Java, Python",GITAM University,B.Tech (Hons.),Computer Science & Engineering,2021,,9.69/10,94.75/94.75,89.20/89.20,0,0
DS0057,Tirupati,2,2,0,"C Programming, Python, R Programming",Cit College,Integrated M.Sc.,,2022,7.26/100,,94.60/94.60,8.80/8.80,0,0
DS0058,Bangalore,2,1,0,"MS-Excel, Python, SAP, R Programming, SPSS, SQL",Christ University Bangalore,Master of Arts (M.A.),Applied Economics,2012,71.00/100,74.00/100,,,0,0
DS0059,Bangalore,2,2,0,"Java, MS-Excel, MS-PowerPoint, Python, R Programming",International School Of Engineering (INSOFE),,Data Science,2020,,8.10/100,92.00/92.00,89.00/89.00,0,0
DS0060,Banglore,1,0,1,"English Proficiency (Spoken), MS-Excel, Machine Learning, Python",JNTU,Master of Technology (M.Tech),Computer  Science,2015,,,,,0,0
DS0061,Banglore,2,0,2,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Python",Imarticus Learning,PG Diploma in Data Science,Analytics,2020,,6.80/10,,6.80/6.80,0,0
DS0062,Bangalore,0,2,0,R Programming,St.Josephs College Of Arts And Science,Bachelor of Science (B.Sc),Mathematics,2017,,,,,0,0
DS0063,Bangalore,1,2,0,"MS-Excel, MySQL, R Programming, Python, Tableau",St Joseph's College Of Commerce (Autonomous),Bachelor of Commerce (B.Com),Analytics,2021,,8.30/10,,,0,0
DS0064,Hyderabad,2,0,2,"Machine Learning, Python, Data Analytics",SRM University Chennai,Integrated B.Tech,Automobile,2016,,6.00/7,,,0,0
DS0065,Bangalore,2,0,0,"C Programming, C++ Programming, CSS, HTML, Java, Python, SQL",Rungta College Of Engineering And Technology,Bachelor of Engineering (B.E),Computer Science  Engineering,2019,,68.00/100,67.20/67.20,75.00/75.00,0,0
DS0066,Gulbarga,0,0,0,Data Science,"PDA College Of Engineering, Gulbarga, Karnataka",Bachelor of Engineering (B.E),Mechanical Engineering,2017,,73.00/100,,,0,0
DS0067,Bangalore,2,0,2,"Data Analytics, Deep Learning, Eclipse (IDE), HTML, MS-Excel, Machine Learning, MySQL, Python",KIIT UNIVERSITY,Bachelor of Technology (B.Tech),Information Technology,2018,,7.12/10,60.00/60.00,66.50/66.50,1,1
DS0068,Delhi,2,1,0,"Data Analytics, Python, SPSS, SQL, R Programming",Chandigarh University,MBA,Data Analytics,2021,66.00/100,7.50/10,63.00/63.00,7.20/7.20,0,0
DS0069,Pune,0,2,2,"Data Analytics, Embedded Systems, Machine Learning, R Programming, Visual Basic (VB)",Imarticus Learning Pvt Ltd,,Data Analytics,2020,,64.36/100,56.46/56.46,61.25/61.25,0,0
DS0070,Mumbai,2,0,1,"C Programming, C++ Programming, GNU Octave, Java, MS-Excel, MS-PowerPoint, MS-Word, Python, Machine Learning",Manipal University Jaipur,Bachelor of Technology (B.Tech),Mechanical Engineering,2019,,7.59/10,,,0,0
DS0071,Hyderabad,2,0,3,"Machine Learning, MySQL, Python",Great Lakes Institute Of Technology,Post Graduate Programme (PGP),Data Science And Engineering,2020,,2.35/4,86.00/86.00,74.00/74.00,0,0
DS0072,Banglore,1,1,0,"MS-Excel, MySQL, Python, R Programming, SAS, Statistical Modeling, Tableau","National Institute Of Electronics & Information Technology, Calicut",Master of Computer Applications (MCA),Computer Application,2015,7.93/10,,,,0,0
DS0073,Chennai,2,0,2,"C Programming, C++ Programming, CSS, Data Structures, Database Management System (DBMS), Deep Learning, Flask, HTML, JavaScript, Linux, MATLAB, Machine Learning, Node.js, OpenCV, PHP, Python, jQuery, BIG DATA ANALYTICS, Data Science, Django, Image Processing, JSON, Neural Networks, SQL",Vellore Institute of Technology,B.Tech (Hons.),Computer  Science,2022,,8.83/10,95.20/95.20,10.00/10.00,1,1
DS0074,Pune,0,0,1,"Hibernate (Java), MySQL, C Programming, C++ Programming, CSS, HTML, Java, Spring MVC, Machine Learning",KLS Gogte Institute Of Technology Belgaum,Bachelor of Engineering (B.E),Computer Science & Engineering,2017,,59.30/100,,72.23/72.23,0,0
DS0075,Bangalore,2,2,2,"Adobe Photoshop, CSS, HTML, Java, JavaScript, Machine Learning, PHP, Python, R Programming",Christ University Bangalore,Bachelor of Science (B.Sc),Computer Science And Statistics,2021,,85.00/100,91.00/91.00,,0,0
DS0076,Bangalore,2,2,2,"C Programming, C++ Programming, Data Analytics, MS-Excel, Machine Learning, Python, R Programming, SQL",New Horizon College of Engineering,Master of Technology (M.Tech),Computer Science & Engineering,2019,9.30/10,,,,1,1
DS0077,Bangalore,3,2,3,"Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, Artifical Intelligence, R Programming",IES College of Technology,Bachelor of Engineering (B.E),Computer  Science,2019,,7.60/10,60.00/60.00,82.33/82.33,1,1
DS0078,Bangalore,2,0,1,"ASP.NET, C#, HTML, Python, SQL, Visual Basic (VB), Machine Learning","Mar Athanasius College Of Arts & Science, Kothamangalam,Kerala",Bachelor of Science (B.Sc),Mathematics,2014,,76.00/100,,,0,0
DS0079,Bangalore,1,0,0,"Python, SAS, SQL","GLA University,Mathura",Bachelor of Technology (B.Tech),Information Systems,2018,,7.68/10,,,0,0
DS0080,Hyderabad,1,0,0,"CSS, HTML, JavaScript, Data Science, Hadoop, MySQL, Python",JNTU ANANTHAPUR,B.Tech (Hons.),Electrical and Electronics Engineering,2019,,66.00/100,82.00/82.00,82.00/82.00,0,0
DS0081,Bangalore,2,0,0,"Java, Python, JavaScript, MongoDB, SQL",Greater Noida Institute Of Technology,Bachelor of Technology (B.Tech),computer science,2019,,60.54/100,61.00/61.00,66.00/66.00,0,0
DS0082,Pune,2,0,2,"Data Science, Machine Learning, Python, Data Analytics, Natural Language Processing (NLP), SQL, Tableau",William Carey University,Bachelor of Science (B.Sc),,2017,,69.00/100,77.00/77.00,90.00/90.00,0,0
DS0083,Bangalore,2,0,2,"Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, Statistical Modeling, BIG DATA ANALYTICS, MS-Excel, MongoDB",Manipal University,,Data Science,2020,,8.05/10,,,0,0
DS0084,Vadodara,2,2,2,"Data Analytics, MS-Office, Machine Learning, MySQL, Python, R Programming, MongoDB",The Maharaja Sayajirao University of Baroda,Master of Statistics (M.Stat),Science,2020,,79.00/100,,,0,0
DS0085,Bangalore,2,0,2,"Data Analytics, HTML, Machine Learning, MySQL, Python, Deep Learning, Natural Language Processing (NLP)",Bmsce,Bachelor of Engineering (B.E),,2019,,7.25/10,,7.60/7.60,1,1
DS0086,Bangalore,2,0,2,"Data Analytics, C Programming, HTML, MS-Excel, MS-Word, Machine Learning, MySQL, Python, SQL, Flask, Heroku, Statistical Modeling, WordPress",Karmaveer Dadasaheb Kannamwar College Of  Engineering,Bachelor of Engineering (B.E),Computer  Science,2019,,63.00/100,60.00/60.00,7.20/7.20,1,1
DS0087,Hyderabad,1,1,2,"Computer Networking, HTML, Machine Learning, MySQL, Ethical Hacking, Python, R Programming",VRS & YRN College,Master of Computer Applications (MCA),,2021,7.00/10,7.50/100,6.70/6.70,6.20/6.20,0,0
DS0088,Gwalior,2,0,2,"Data Analytics, MySQL, PHP, C Programming, HTML, Machine Learning, Python",ITM Group Of Institution Technical Campus,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,,8.00/10,89.40/89.40,84.33/84.33,1,1
DS0089,Bangalore,0,0,0,,C.Byregowda Institute Of Technology,Bachelor of Engineering (B.E),Computer Science & Engineering,2020,,7.99/10,,,0,0
DS0090,Pune,1,1,0,"MS-Excel, Python, R Programming, SAS","Modern College Of Arts, Science & Commerce",Master of Science (M.Sc),Statistics,2019,,7.33/10,65.28/65.28,,0,0
DS0091,Bangalore,2,0,1,"French Proficiency (spoken), MS-Excel, MS-Word, Python, SQL, Statistical Modeling, Data Analytics, Machine Learning",IGNOU,,Post Graduate Diploma In Statistics,2020,,62.00/100,,,0,0
DS0092,Bangalore,3,3,0,"Data Science, Python, R Programming, Natural Language Processing (NLP), Tableau",Kingston Engineering College,Bachelor of Engineering (B.E),Electronics and Communication,2019,,7.31/10,,,1,1
DS0093,Bangalore,2,0,0,"Algorithms, C Programming, Data Structures, Database Management System (DBMS), Deep Learning, Natural Language Processing (NLP), Python, Android, Computer Vision, OpenCV",Government Engineering College Palakkad,Bachelor of Technology (B.Tech),IT,2019,,7.35/10,92.00/92.00,9.00/9.00,0,0
DS0094,Bangalore,3,0,2,"Adobe Premiere Pro, Python, Data Analytics, Database Management System (DBMS), Django, Machine Learning",Pondicherry University,Master of Computer Applications (MCA),Computer  Science,2020,8.71/10,60.77/100,79.00/79.00,10.00/10.00,0,0
DS0095,Bangalore,2,0,2,"MS-Excel, Data Analytics, English Proficiency (Spoken), Machine Learning, Python",JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2021,,7.40/10,85.60/85.60,9.20/9.20,1,1
DS0096,Bangalore,2,0,3,"Data Analytics, English Proficiency (Spoken), MS-Excel, Machine Learning, Python",Kongu Engineering College,Bachelor of Engineering (B.E),E &amp;i,2015,,8.50/10,,,1,1
DS0097,Bangalore,2,0,2,"MS-Excel, Machine Learning, Python, SQL, Natural Language Processing (NLP)",Bapuji Institute of Engineering and Technology,Bachelor of Engineering (B.E),Mechanical Engineering,2014,,69.86/100,83.00/83.00,91.68/91.68,1,1
DS0098,Bangalore,2,1,0,"C Programming, English Proficiency (Spoken), English Proficiency (Written), Python, SQL, Tableau, R Programming, Statistical Modeling","Bangalore Institute of Technology, Bangalore",Bachelor of Engineering (B.E),Electronics and Communication,2018,,63.60/100,84.00/84.00,9.60/9.60,0,0
DS0099,Mumbai,2,2,2,"Image Processing, OpenCV, Artifical Intelligence, C Programming, Data Analytics, Database Management System (DBMS), Deep Learning, Financial Modeling, MS SQL Server, MS-Excel, MS-PowerPoint, Machine Learning, Mathematics, Microsoft Visual Studio, Python, R Programming, SPSS, SQL",Narsee Monjee Institute of Management studies,Bachelor of Science (B.Sc),Applied Statistics And Analytics,2020,,3.55/4,92.20/92.20,10.00/10.00,0,0
DS0100,Bangalore,2,0,2,"C Programming, Deep Learning, Java, Machine Learning, Natural Language Processing (NLP), Python, SQL",Donbosco Institite Of Technology,Bachelor of Engineering (B.E),Computer Science & Engineering,2018,,62.00/100,70.33/70.33,72.33/72.33,1,1
DS0101,Ahmedabad,2,0,2,"Data Analytics, MS SQL Server, MS-Excel, Machine Learning, Python, Power BI",International Institute Of Information Technology Bangalore,,Data Science,2020,71.30/100,3.40/4,75.00/75.00,75.00/75.00,0,0
DS0102,Ahmedabad,2,0,2,"Data Analytics, MS-Excel, Machine Learning, Python, SQL, Power BI",International Institute Of Information Technology Bangalore,,PG Diploma In Data Science,2021,,3.40/4,,,0,0
DS0103,Bangalore,2,0,2,"SQL, Data Analytics, Data Science, MS-Excel, Machine Learning, Python, Statistical Modeling",Great Lakes Institute of Management,Post Graduate Programme (PGP),Data Science And Engineering,2020,,8.00/10,,,0,0
DS0104,Thrissur,1,0,0,"Adobe Illustrator, Adobe Photoshop, CSS, HTML, JavaScript, SQL, Data Analytics, Python","MACFAST, Thriuvalla",Master of Computer Applications (MCA),Computer  Science,2016,74.00/100,64.00/100,,,0,0
DS0105,Hyderabad,2,0,2,"MySQL, Data Analytics, MS-Excel, Machine Learning, Python, Tableau",Kallam Haranadhareddy Institute Of Technology,Bachelor of Technology (B.Tech),Electronics and Communication,2018,,65.50/100,70.50/70.50,,1,1
DS0106,Bangalore,2,0,0,"Bootstrap, C Programming, C++ Programming, CSS, HTML, Java, JavaScript, PHP, Python, SQL, jQuery, Android, Data Science, iOS",SASTRA DEEMED UNIVERSITY,Bachelor of Technology (B.Tech),Computer Science & Engineering,2018,,6.28/10,85.66/85.66,91.20/91.20,0,0
DS0107,Hyderabad,2,2,2,"English Proficiency (Spoken), Machine Learning, Python, R Programming, Data Analytics, MS-Excel, SQL",Vmritms,Bachelor of Technology (B.Tech),Electrical and Electronics Engineering,2013,,62.13/100,66.30/66.30,,1,1
DS0108,Bangalore,1,1,1,"Machine Learning, Microsoft Azure, Python, R Programming",Institute Of Technical Education & Research,Master of Technology (M.Tech),Computer  Science,2017,8.68/10,8.00/10,,,0,0
DS0109,Ranchi,0,0,0,,Birla Institute Of Technology Mesra Ranchi,MBA,Finance And Human Resources,2021,6.95/7,6.92/7,5.00/5.00,8.29/8.29,0,0
DS0110,Banglore,3,2,2,"Data Analytics, MySQL, Python, Hadoop, Java, Machine Learning, R Programming","National Institute Of Electronics & Information Technology, Calicut",,Advanced Diploma In BigData Analytics,2020,,80.00/100,75.00/75.00,92.00/92.00,0,0
DS0111,Bangalore,2,0,2,"Data Analytics, MS-Excel, Machine Learning, Python, Statistical Modeling",Global Academy of Technology,,Data Analytics,2023,,,,,0,0
DS0112,Visakhapatnam,2,0,2,"C Programming, C++ Programming, CSS, HTML, Java, JavaScript, Machine Learning, Python, SQL, XML, Data Science",GITAM,Bachelor of Technology (B.Tech),Computer Science & Engineering,2021,,8.85/10,9.65/9.65,8.88/8.88,1,1
DS0113,Bangalore,1,2,0,"Data Analytics, MS-Excel, Power BI, R Programming, SAP, Data Science, Python, SQL",Myra School Of Business,Post Graduate Diploma in Management (P.G.D.M.),Data Analytics,2019,8.00/10,67.00/100,,,0,0
DS0114,Delhi,0,3,0,"R Programming, SAS","Amity University, Noida",Master of Science (M.Sc),Applied Mathematics,2017,6.00/10,60.00/100,75.00/75.00,,0,0
DS0115,Bangalore,2,0,2,"Data Structures, Machine Learning, Python, SQL",QUTUBSHAHI PG COLLEGE FOR MCA,Master of Computer Applications (MCA),Computer  Science,2009,70.00/100,74.00/100,79.00/79.00,76.00/76.00,0,0
DS0116,Vijayawada,2,0,1,"Data Analytics, Python, Artifical Intelligence, Machine Learning",VR Siddhartha Engineering College,Master of Computer Applications (MCA),Computer Application,2018,8.42/10,76.00/100,84.00/84.00,76.00/76.00,0,0
DS0117,Lucknow,2,0,0,"Algorithms, C++ Programming, Data Structures, Database Management System (DBMS), Python, Java",Baba Saheb Bhim Rao Ambedkar University,Master of Computer Applications (MCA),,2020,9.00/10,6.00/10,,,0,0
